ntdll_8                                             0000000180085280 8   
NtOpenObjectAuditAlarm                              00000001800A8370 408 
NtOpenPartition                                     00000001800A8390 409 
NtOpenPrivateNamespace                              00000001800A83B0 410 
NtOpenProcess                                       00000001800A6580 411 
NtOpenProcessToken                                  00000001800A83D0 412 
NtOpenProcessTokenEx                                00000001800A66C0 413 
NtOpenRegistryTransaction                           00000001800A83F0 414 
NtOpenResourceManager                               00000001800A8410 415 
NtOpenSection                                       00000001800A67A0 416 
NtOpenSemaphore                                     00000001800A8430 417 
NtOpenSession                                       00000001800A8450 418 
NtOpenSymbolicLinkObject                            00000001800A8470 419 
NtOpenThread                                        00000001800A8490 420 
NtOpenThreadToken                                   00000001800A6540 421 
NtOpenThreadTokenEx                                 00000001800A66A0 422 
NtOpenTimer                                         00000001800A84B0 423 
NtOpenTransaction                                   00000001800A84D0 424 
NtOpenTransactionManager                            00000001800A84F0 425 
NtPlugPlayControl                                   00000001800A8510 426 
NtPowerInformation                                  00000001800A6C90 427 
NtPrePrepareComplete                                00000001800A8530 428 
NtPrePrepareEnlistment                              00000001800A8550 429 
NtPrepareComplete                                   00000001800A8570 430 
NtPrepareEnlistment                                 00000001800A8590 431 
NtPrivilegeCheck                                    00000001800A85B0 432 
NtPrivilegeObjectAuditAlarm                         00000001800A85D0 433 
NtPrivilegedServiceAuditAlarm                       00000001800A85F0 434 
NtPropagationComplete                               00000001800A8610 435 
NtPropagationFailed                                 00000001800A8630 436 
NtProtectVirtualMemory                              00000001800A6AC0 437 
NtPulseEvent                                        00000001800A8650 438 
NtQueryAttributesFile                               00000001800A6860 439 
NtQueryBootEntryOrder                               00000001800A8670 440 
NtQueryBootOptions                                  00000001800A8690 441 
NtQueryDebugFilterState                             00000001800A86B0 442 
NtQueryDefaultLocale                                00000001800A6360 443 
NtQueryDefaultUILanguage                            00000001800A6940 444 
NtQueryDirectoryFile                                00000001800A6760 445 
NtQueryDirectoryObject                              00000001800A86D0 446 
NtQueryDriverEntryOrder                             00000001800A86F0 447 
NtQueryEaFile                                       00000001800A8710 448 
NtQueryEvent                                        00000001800A6B80 449 
NtQueryFullAttributesFile                           00000001800A8730 450 
NtQueryInformationAtom                              00000001800A8750 451 
NtQueryInformationEnlistment                        00000001800A8770 452 
NtQueryInformationFile                              00000001800A62E0 453 
NtQueryInformationJobObject                         00000001800A8790 454 
NtQueryInformationPort                              00000001800A87B0 455 
NtQueryInformationProcess                           00000001800A63E0 456 
NtQueryInformationResourceManager                   00000001800A87D0 457 
NtQueryInformationThread                            00000001800A6560 458 
NtQueryInformationToken                             00000001800A64E0 459 
NtQueryInformationTransaction                       00000001800A87F0 460 
NtQueryInformationTransactionManager                00000001800A8810 461 
NtQueryInformationWorkerFactory                     00000001800A8830 462 
NtQueryInstallUILanguage                            00000001800A8850 463 
NtQueryIntervalProfile                              00000001800A8870 464 
NtQueryIoCompletion                                 00000001800A8890 465 
NtQueryKey                                          00000001800A6380 466 
NtQueryLicenseValue                                 00000001800A88B0 467 
NtQueryMultipleValueKey                             00000001800A88D0 468 
NtQueryMutant                                       00000001800A88F0 469 
NtQueryObject                                       00000001800A62C0 470 
NtQueryOpenSubKeys                                  00000001800A8910 471 
NtQueryOpenSubKeysEx                                00000001800A8930 472 
NtQueryPerformanceCounter                           00000001800A66E0 473 
NtQueryPortInformationProcess                       00000001800A8950 474 
NtQueryQuotaInformationFile                         00000001800A8970 475 
NtQuerySection                                      00000001800A6AE0 476 
NtQuerySecurityAttributesToken                      00000001800A8990 477 
NtQuerySecurityObject                               00000001800A89B0 478 
NtQuerySecurityPolicy                               00000001800A89D0 479 
NtQuerySemaphore                                    00000001800A89F0 480 
NtQuerySymbolicLinkObject                           00000001800A8A10 481 
NtQuerySystemEnvironmentValue                       00000001800A8A30 482 
NtQuerySystemEnvironmentValueEx                     00000001800A8A50 483 
NtQuerySystemInformation                            00000001800A6780 484 
NtQuerySystemInformationEx                          00000001800A8A70 485 
NtQuerySystemTime                                   00000001800A6C00 486 
NtQueryTimer                                        00000001800A67C0 487 
NtQueryTimerResolution                              00000001800A8A90 488 
NtQueryValueKey                                     00000001800A63A0 489 
NtQueryVirtualMemory                                00000001800A6520 490 
NtQueryVolumeInformationFile                        00000001800A69E0 491 
NtQueryWnfStateData                                 00000001800A8AB0 492 
NtQueryWnfStateNameInformation                      00000001800A8AD0 493 
NtQueueApcThread                                    00000001800A6960 494 
NtQueueApcThreadEx                                  00000001800A8AF0 495 
NtRaiseException                                    00000001800A8B10 496 
NtRaiseHardError                                    00000001800A8B30 497 
NtReadFile                                          00000001800A6180 498 
NtReadFileScatter                                   00000001800A6680 499 
