ntdll_8                                             0000000180085280 8   
TpPostWork                                          0000000180050C90 1588
TpQueryPoolStackInformation                         00000001800FEE40 1589
TpReleaseAlpcCompletion                             00000001800546E0 1590
TpReleaseCleanupGroup                               00000001800816B0 1591
TpReleaseCleanupGroupMembers                        0000000180054EC0 1592
TpReleaseIoCompletion                               0000000180054230 1593
TpReleaseJobNotification                            0000000180054CB0 1594
TpReleasePool                                       0000000180083100 1595
TpReleaseTimer                                      000000018004EF30 1596
TpReleaseWait                                       0000000180051780 1597
TpReleaseWork                                       000000018004F8E0 1598
TpSetDefaultPoolMaxThreads                          00000001800FEEB0 1599
TpSetDefaultPoolStackInformation                    0000000180084F10 1600
TpSetPoolMaxThreads                                 0000000180053880 1601
TpSetPoolMaxThreadsSoftLimit                        00000001800538F0 1602
TpSetPoolMinThreads                                 0000000180054760 1603
TpSetPoolStackInformation                           0000000180085030 1604
TpSetPoolThreadBasePriority                         00000001800885A0 1605
TpSetPoolWorkerThreadIdleTimeout                    0000000180053A30 1606
TpSetTimer                                          000000018004FD90 1607
TpSetTimerEx                                        000000018004FDA0 1608
TpSetWait                                           000000018004F2C0 1609
TpSetWaitEx                                         000000018004FB00 1610
TpSimpleTryPost                                     0000000180052B90 1611
TpStartAsyncIoOperation                             000000018004FEB0 1612
TpTimerOutstandingCallbackCount                     0000000180051F40 1613
TpTrimPools                                         000000018006CB80 1614
TpWaitForAlpcCompletion                             0000000180054E50 1615
TpWaitForIoCompletion                               0000000180086F80 1616
TpWaitForJobNotification                            0000000180054E10 1617
TpWaitForTimer                                      000000018004F800 1618
TpWaitForWait                                       0000000180052CD0 1619
TpWaitForWork                                       00000001800520E0 1620
VerSetConditionMask                                 000000018007CDA0 1621
WerReportSQMEvent                                   00000001800DA910 1622
WinSqmAddToAverageDWORD                             0000000180084E90 1623
WinSqmAddToStream                                   0000000180084E90 1624
WinSqmAddToStreamEx                                 0000000180084E90 1625
WinSqmCheckEscalationAddToStreamEx                  0000000180085BC0 1626
WinSqmCheckEscalationSetDWORD                       0000000180085BC0 1627
WinSqmCheckEscalationSetDWORD64                     0000000180085BC0 1628
WinSqmCheckEscalationSetString                      0000000180085BC0 1629
WinSqmCommonDatapointDelete                         0000000180014DE0 1630
WinSqmCommonDatapointSetDWORD                       0000000180014DE0 1631
WinSqmCommonDatapointSetDWORD64                     0000000180014DE0 1632
WinSqmCommonDatapointSetStreamEx                    0000000180014DE0 1633
WinSqmCommonDatapointSetString                      0000000180014DE0 1634
WinSqmEndSession                                    0000000180084E90 1635
WinSqmEventEnabled                                  0000000180085BC0 1636
WinSqmEventWrite                                    0000000180085BC0 1637
WinSqmGetEscalationRuleStatus                       0000000180085BC0 1638
WinSqmGetInstrumentationProperty                    00000001800DACF0 1639
WinSqmIncrementDWORD                                0000000180084E90 1640
WinSqmIsOptedIn                                     0000000180085BC0 1641
WinSqmIsOptedInEx                                   0000000180085BC0 1642
WinSqmIsSessionDisabled                             0000000180014DE0 1643
WinSqmSetDWORD                                      0000000180084E90 1644
WinSqmSetDWORD64                                    0000000180084E90 1645
WinSqmSetEscalationInfo                             0000000180014DE0 1646
WinSqmSetIfMaxDWORD                                 0000000180084E90 1647
WinSqmSetIfMinDWORD                                 0000000180084E90 1648
WinSqmSetString                                     0000000180084E90 1649
WinSqmStartSession                                  0000000180089DE0 1650
WinSqmStartSessionForPartner                        0000000180089DE0 1651
WinSqmStartSqmOptinListener                         0000000180085BC0 1652
ZwAcceptConnectPort                                 00000001800A6100 1653
ZwAccessCheck                                       00000001800A60C0 1654
ZwAccessCheckAndAuditAlarm                          00000001800A65E0 1655
ZwAccessCheckByType                                 00000001800A6D10 1656
ZwAccessCheckByTypeAndAuditAlarm                    00000001800A6BE0 1657
ZwAccessCheckByTypeResultList                       00000001800A6D30 1658
ZwAccessCheckByTypeResultListAndAuditAlarm          00000001800A6D50 1659
ZwAccessCheckByTypeResultListAndAuditAlarmByHandle  00000001800A6D70 1660
ZwAddAtom                                           00000001800A69A0 1661
ZwAddAtomEx                                         00000001800A6D90 1662
ZwAddBootEntry                                      00000001800A6DB0 1663
ZwAddDriverEntry                                    00000001800A6DD0 1664
ZwAdjustGroupsToken                                 00000001800A6DF0 1665
ZwAdjustPrivilegesToken                             00000001800A68E0 1666
ZwAdjustTokenClaimsAndDeviceGroups                  00000001800A6E10 1667
ZwAlertResumeThread                                 00000001800A6E30 1668
ZwAlertThread                                       00000001800A6E50 1669
ZwAlertThreadByThreadId                             00000001800A6E70 1670
ZwAllocateLocallyUniqueId                           00000001800A6E90 1671
ZwAllocateReserveObject                             00000001800A6EB0 1672
ZwAllocateUserPhysicalPages                         00000001800A6ED0 1673
ZwAllocateUuids                                     00000001800A6EF0 1674
ZwAllocateVirtualMemory                             00000001800A63C0 1675
ZwAlpcAcceptConnectPort                             00000001800A6F10 1676
ZwAlpcCancelMessage                                 00000001800A6F30 1677
ZwAlpcConnectPort                                   00000001800A6F50 1678
ZwAlpcConnectPortEx                                 00000001800A6F70 1679
ZwAlpcCreatePort                                    00000001800A6F90 1680
ZwAlpcCreatePortSection                             00000001800A6FB0 1681
ZwAlpcCreateResourceReserve                         00000001800A6FD0 1682
ZwAlpcCreateSectionView                             00000001800A6FF0 1683
ZwAlpcCreateSecurityContext                         00000001800A7010 1684
ZwAlpcDeletePortSection                             00000001800A7030 1685
ZwAlpcDeleteResourceReserve                         00000001800A7050 1686
ZwAlpcDeleteSectionView                             00000001800A7070 1687
ZwAlpcDeleteSecurityContext                         00000001800A7090 1688
ZwAlpcDisconnectPort                                00000001800A70B0 1689
ZwAlpcImpersonateClientContainerOfPort              00000001800A70D0 1690
ZwAlpcImpersonateClientOfPort                       00000001800A70F0 1691
ZwAlpcOpenSenderProcess                             00000001800A7110 1692
ZwAlpcOpenSenderThread                              00000001800A7130 1693
ZwAlpcQueryInformation                              00000001800A7150 1694
ZwAlpcQueryInformationMessage                       00000001800A7170 1695
ZwAlpcRevokeSecurityContext                         00000001800A7190 1696
ZwAlpcSendWaitReceivePort                           00000001800A71B0 1697
ZwAlpcSetInformation                                00000001800A71D0 1698
ZwApphelpCacheControl                               00000001800A6A40 1699
ZwAreMappedFilesTheSame                             00000001800A71F0 1700
ZwAssignProcessToJobObject                          00000001800A7210 1701
ZwAssociateWaitCompletionPacket                     00000001800A7230 1702
ZwCallbackReturn                                    00000001800A6160 1703
ZwCancelIoFile                                      00000001800A6C50 1704
ZwCancelIoFileEx                                    00000001800A7250 1705
ZwCancelSynchronousIoFile                           00000001800A7270 1706
ZwCancelTimer                                       00000001800A6CD0 1707
ZwCancelTimer2                                      00000001800A7290 1708
ZwCancelWaitCompletionPacket                        00000001800A72B0 1709
ZwClearEvent                                        00000001800A6880 1710
ZwClose                                             00000001800A62A0 1711
ZwCloseObjectAuditAlarm                             00000001800A6820 1712
ZwCommitComplete                                    00000001800A72D0 1713
ZwCommitEnlistment                                  00000001800A72F0 1714
ZwCommitRegistryTransaction                         00000001800A7310 1715
ZwCommitTransaction                                 00000001800A7330 1716
ZwCompactKeys                                       00000001800A7350 1717
ZwCompareObjects                                    00000001800A7370 1718
ZwCompareTokens                                     00000001800A7390 1719
ZwCompleteConnectPort                               00000001800A73B0 1720
ZwCompressKey                                       00000001800A73D0 1721
ZwConnectPort                                       00000001800A73F0 1722
ZwContinue                                          00000001800A6920 1723
ZwCreateDebugObject                                 00000001800A7410 1724
ZwCreateDirectoryObject                             00000001800A7430 1725
ZwCreateDirectoryObjectEx                           00000001800A7450 1726
ZwCreateEnclave                                     00000001800A7470 1727
ZwCreateEnlistment                                  00000001800A7490 1728
ZwCreateEvent                                       00000001800A69C0 1729
ZwCreateEventPair                                   00000001800A74B0 1730
ZwCreateFile                                        00000001800A6B60 1731
ZwCreateIRTimer                                     00000001800A74D0 1732
ZwCreateIoCompletion                                00000001800A74F0 1733
ZwCreateJobObject                                   00000001800A7510 1734
ZwCreateJobSet                                      00000001800A7530 1735
ZwCreateKey                                         00000001800A6460 1736
ZwCreateKeyTransacted                               00000001800A7550 1737
ZwCreateKeyedEvent                                  00000001800A7570 1738
ZwCreateLowBoxToken                                 00000001800A7590 1739
ZwCreateMailslotFile                                00000001800A75B0 1740
ZwCreateMutant                                      00000001800A75D0 1741
ZwCreateNamedPipeFile                               00000001800A75F0 1742
ZwCreatePagingFile                                  00000001800A7610 1743
ZwCreatePartition                                   00000001800A7630 1744
ZwCreatePort                                        00000001800A7650 1745
ZwCreatePrivateNamespace                            00000001800A7670 1746
ZwCreateProcess                                     00000001800A7690 1747
ZwCreateProcessEx                                   00000001800A6A60 1748
ZwCreateProfile                                     00000001800A76B0 1749
ZwCreateProfileEx                                   00000001800A76D0 1750
ZwCreateRegistryTransaction                         00000001800A76F0 1751
ZwCreateResourceManager                             00000001800A7710 1752
ZwCreateSection                                     00000001800A6A00 1753
ZwCreateSemaphore                                   00000001800A7730 1754
ZwCreateSymbolicLinkObject                          00000001800A7750 1755
ZwCreateThread                                      00000001800A6A80 1756
ZwCreateThreadEx                                    00000001800A7770 1757
ZwCreateTimer                                       00000001800A7790 1758
ZwCreateTimer2                                      00000001800A77B0 1759
ZwCreateToken                                       00000001800A77D0 1760
ZwCreateTokenEx                                     00000001800A77F0 1761
ZwCreateTransaction                                 00000001800A7810 1762
ZwCreateTransactionManager                          00000001800A7830 1763
ZwCreateUserProcess                                 00000001800A7850 1764
ZwCreateWaitCompletionPacket                        00000001800A7870 1765
ZwCreateWaitablePort                                00000001800A7890 1766
ZwCreateWnfStateName                                00000001800A78B0 1767
ZwCreateWorkerFactory                               00000001800A78D0 1768
ZwDebugActiveProcess                                00000001800A78F0 1769
ZwDebugContinue                                     00000001800A7910 1770
ZwDelayExecution                                    00000001800A6740 1771
ZwDeleteAtom                                        00000001800A7930 1772
ZwDeleteBootEntry                                   00000001800A7950 1773
ZwDeleteDriverEntry                                 00000001800A7970 1774
ZwDeleteFile                                        00000001800A7990 1775
ZwDeleteKey                                         00000001800A79B0 1776
ZwDeleteObjectAuditAlarm                            00000001800A79D0 1777
ZwDeletePrivateNamespace                            00000001800A79F0 1778
ZwDeleteValueKey                                    00000001800A7A10 1779
ZwDeleteWnfStateData                                00000001800A7A30 1780
ZwDeleteWnfStateName                                00000001800A7A50 1781
ZwDeviceIoControlFile                               00000001800A61A0 1782
ZwDisableLastKnownGood                              00000001800A7A70 1783
ZwDisplayString                                     00000001800A7A90 1784
ZwDrawText                                          00000001800A7AB0 1785
ZwDuplicateObject                                   00000001800A6840 1786
ZwDuplicateToken                                    00000001800A6900 1787
ZwEnableLastKnownGood                               00000001800A7AD0 1788
ZwEnumerateBootEntries                              00000001800A7AF0 1789
ZwEnumerateDriverEntries                            00000001800A7B10 1790
ZwEnumerateKey                                      00000001800A6700 1791
ZwEnumerateSystemEnvironmentValuesEx                00000001800A7B30 1792
ZwEnumerateTransactionObject                        00000001800A7B50 1793
ZwEnumerateValueKey                                 00000001800A6320 1794
ZwExtendSection                                     00000001800A7B70 1795
ZwFilterBootOption                                  00000001800A7B90 1796
ZwFilterToken                                       00000001800A7BB0 1797
ZwFilterTokenEx                                     00000001800A7BD0 1798
ZwFindAtom                                          00000001800A6340 1799
ZwFlushBuffersFile                                  00000001800A6A20 1800
ZwFlushBuffersFileEx                                00000001800A7BF0 1801
ZwFlushInstallUILanguage                            00000001800A7C10 1802
ZwFlushInstructionCache                             00000001800A7C30 1803
ZwFlushKey                                          00000001800A7C50 1804
ZwFlushProcessWriteBuffers                          00000001800A7C70 1805
ZwFlushVirtualMemory                                00000001800A7C90 1806
ZwFlushWriteBuffer                                  00000001800A7CB0 1807
ZwFreeUserPhysicalPages                             00000001800A7CD0 1808
ZwFreeVirtualMemory                                 00000001800A6480 1809
ZwFreezeRegistry                                    00000001800A7CF0 1810
ZwFreezeTransactions                                00000001800A7D10 1811
ZwFsControlFile                                     00000001800A67E0 1812
ZwGetCachedSigningLevel                             00000001800A7D30 1813
ZwGetCompleteWnfStateSubscription                   00000001800A7D50 1814
ZwGetContextThread                                  00000001800A7D70 1815
ZwGetCurrentProcessorNumber                         00000001800A7D90 1816
ZwGetCurrentProcessorNumberEx                       00000001800A7DB0 1817
ZwGetDevicePowerState                               00000001800A7DD0 1818
ZwGetMUIRegistryInfo                                00000001800A7DF0 1819
ZwGetNextProcess                                    00000001800A7E10 1820
ZwGetNextThread                                     00000001800A7E30 1821
ZwGetNlsSectionPtr                                  00000001800A7E50 1822
ZwGetNotificationResourceManager                    00000001800A7E70 1823
ZwGetWriteWatch                                     00000001800A7E90 1824
ZwImpersonateAnonymousToken                         00000001800A7EB0 1825
ZwImpersonateClientOfPort                           00000001800A64A0 1826
ZwImpersonateThread                                 00000001800A7ED0 1827
ZwInitializeEnclave                                 00000001800A7EF0 1828
ZwInitializeNlsFiles                                00000001800A7F10 1829
ZwInitializeRegistry                                00000001800A7F30 1830
ZwInitiatePowerAction                               00000001800A7F50 1831
ZwIsProcessInJob                                    00000001800A6AA0 1832
ZwIsSystemResumeAutomatic                           00000001800A7F70 1833
ZwIsUILanguageComitted                              00000001800A7F90 1834
ZwListenPort                                        00000001800A7FB0 1835
ZwLoadDriver                                        00000001800A7FD0 1836
ZwLoadEnclaveData                                   00000001800A7FF0 1837
ZwLoadKey                                           00000001800A8010 1838
ZwLoadKey2                                          00000001800A8030 1839
ZwLoadKeyEx                                         00000001800A8050 1840
ZwLockFile                                          00000001800A8070 1841
ZwLockProductActivationKeys                         00000001800A8090 1842
ZwLockRegistryKey                                   00000001800A80B0 1843
ZwLockVirtualMemory                                 00000001800A80D0 1844
ZwMakePermanentObject                               00000001800A80F0 1845
ZwMakeTemporaryObject                               00000001800A8110 1846
ZwManagePartition                                   00000001800A8130 1847
ZwMapCMFModule                                      00000001800A8150 1848
ZwMapUserPhysicalPages                              00000001800A8170 1849
ZwMapUserPhysicalPagesScatter                       00000001800A6120 1850
ZwMapViewOfSection                                  00000001800A65C0 1851
ZwModifyBootEntry                                   00000001800A8190 1852
ZwModifyDriverEntry                                 00000001800A81B0 1853
ZwNotifyChangeDirectoryFile                         00000001800A81D0 1854
ZwNotifyChangeKey                                   00000001800A81F0 1855
ZwNotifyChangeMultipleKeys                          00000001800A8210 1856
ZwNotifyChangeSession                               00000001800A8230 1857
ZwOpenDirectoryObject                               00000001800A6BC0 1858
ZwOpenEnlistment                                    00000001800A8250 1859
ZwOpenEvent                                         00000001800A68C0 1860
ZwOpenEventPair                                     00000001800A8270 1861
ZwOpenFile                                          00000001800A6720 1862
ZwOpenIoCompletion                                  00000001800A8290 1863
ZwOpenJobObject                                     00000001800A82B0 1864
ZwOpenKey                                           00000001800A6300 1865
ZwOpenKeyEx                                         00000001800A82D0 1866
ZwOpenKeyTransacted                                 00000001800A82F0 1867
ZwOpenKeyTransactedEx                               00000001800A8310 1868
ZwOpenKeyedEvent                                    00000001800A8330 1869
ZwOpenMutant                                        00000001800A8350 1870
ZwOpenObjectAuditAlarm                              00000001800A8370 1871
ZwOpenPartition                                     00000001800A8390 1872
ZwOpenPrivateNamespace                              00000001800A83B0 1873
ZwOpenProcess                                       00000001800A6580 1874
ZwOpenProcessToken                                  00000001800A83D0 1875
ZwOpenProcessTokenEx                                00000001800A66C0 1876
ZwOpenRegistryTransaction                           00000001800A83F0 1877
ZwOpenResourceManager                               00000001800A8410 1878
ZwOpenSection                                       00000001800A67A0 1879
ZwOpenSemaphore                                     00000001800A8430 1880
ZwOpenSession                                       00000001800A8450 1881
ZwOpenSymbolicLinkObject                            00000001800A8470 1882
ZwOpenThread                                        00000001800A8490 1883
ZwOpenThreadToken                                   00000001800A6540 1884
ZwOpenThreadTokenEx                                 00000001800A66A0 1885
ZwOpenTimer                                         00000001800A84B0 1886
ZwOpenTransaction                                   00000001800A84D0 1887
ZwOpenTransactionManager                            00000001800A84F0 1888
ZwPlugPlayControl                                   00000001800A8510 1889
ZwPowerInformation                                  00000001800A6C90 1890
ZwPrePrepareComplete                                00000001800A8530 1891
ZwPrePrepareEnlistment                              00000001800A8550 1892
ZwPrepareComplete                                   00000001800A8570 1893
ZwPrepareEnlistment                                 00000001800A8590 1894
ZwPrivilegeCheck                                    00000001800A85B0 1895
ZwPrivilegeObjectAuditAlarm                         00000001800A85D0 1896
ZwPrivilegedServiceAuditAlarm                       00000001800A85F0 1897
ZwPropagationComplete                               00000001800A8610 1898
ZwPropagationFailed                                 00000001800A8630 1899
ZwProtectVirtualMemory                              00000001800A6AC0 1900
ZwPulseEvent                                        00000001800A8650 1901
ZwQueryAttributesFile                               00000001800A6860 1902
ZwQueryBootEntryOrder                               00000001800A8670 1903
ZwQueryBootOptions                                  00000001800A8690 1904
ZwQueryDebugFilterState                             00000001800A86B0 1905
ZwQueryDefaultLocale                                00000001800A6360 1906
ZwQueryDefaultUILanguage                            00000001800A6940 1907
ZwQueryDirectoryFile                                00000001800A6760 1908
ZwQueryDirectoryObject                              00000001800A86D0 1909
ZwQueryDriverEntryOrder                             00000001800A86F0 1910
ZwQueryEaFile                                       00000001800A8710 1911
ZwQueryEvent                                        00000001800A6B80 1912
ZwQueryFullAttributesFile                           00000001800A8730 1913
ZwQueryInformationAtom                              00000001800A8750 1914
ZwQueryInformationEnlistment                        00000001800A8770 1915
ZwQueryInformationFile                              00000001800A62E0 1916
ZwQueryInformationJobObject                         00000001800A8790 1917
ZwQueryInformationPort                              00000001800A87B0 1918
ZwQueryInformationProcess                           00000001800A63E0 1919
ZwQueryInformationResourceManager                   00000001800A87D0 1920
ZwQueryInformationThread                            00000001800A6560 1921
ZwQueryInformationToken                             00000001800A64E0 1922
ZwQueryInformationTransaction                       00000001800A87F0 1923
ZwQueryInformationTransactionManager                00000001800A8810 1924
ZwQueryInformationWorkerFactory                     00000001800A8830 1925
ZwQueryInstallUILanguage                            00000001800A8850 1926
ZwQueryIntervalProfile                              00000001800A8870 1927
ZwQueryIoCompletion                                 00000001800A8890 1928
ZwQueryKey                                          00000001800A6380 1929
ZwQueryLicenseValue                                 00000001800A88B0 1930
ZwQueryMultipleValueKey                             00000001800A88D0 1931
ZwQueryMutant                                       00000001800A88F0 1932
ZwQueryObject                                       00000001800A62C0 1933
ZwQueryOpenSubKeys                                  00000001800A8910 1934
ZwQueryOpenSubKeysEx                                00000001800A8930 1935
ZwQueryPerformanceCounter                           00000001800A66E0 1936
ZwQueryPortInformationProcess                       00000001800A8950 1937
ZwQueryQuotaInformationFile                         00000001800A8970 1938
ZwQuerySection                                      00000001800A6AE0 1939
ZwQuerySecurityAttributesToken                      00000001800A8990 1940
ZwQuerySecurityObject                               00000001800A89B0 1941
ZwQuerySecurityPolicy                               00000001800A89D0 1942
ZwQuerySemaphore                                    00000001800A89F0 1943
ZwQuerySymbolicLinkObject                           00000001800A8A10 1944
ZwQuerySystemEnvironmentValue                       00000001800A8A30 1945
ZwQuerySystemEnvironmentValueEx                     00000001800A8A50 1946
ZwQuerySystemInformation                            00000001800A6780 1947
ZwQuerySystemInformationEx                          00000001800A8A70 1948
ZwQuerySystemTime                                   00000001800A6C00 1949
ZwQueryTimer                                        00000001800A67C0 1950
ZwQueryTimerResolution                              00000001800A8A90 1951
ZwQueryValueKey                                     00000001800A63A0 1952
ZwQueryVirtualMemory                                00000001800A6520 1953
ZwQueryVolumeInformationFile                        00000001800A69E0 1954
ZwQueryWnfStateData                                 00000001800A8AB0 1955
ZwQueryWnfStateNameInformation                      00000001800A8AD0 1956
ZwQueueApcThread                                    00000001800A6960 1957
ZwQueueApcThreadEx                                  00000001800A8AF0 1958
ZwRaiseException                                    00000001800A8B10 1959
ZwRaiseHardError                                    00000001800A8B30 1960
ZwReadFile                                          00000001800A6180 1961
ZwReadFileScatter                                   00000001800A6680 1962
ZwReadOnlyEnlistment                                00000001800A8B50 1963
ZwReadRequestData                                   00000001800A6B40 1964
ZwReadVirtualMemory                                 00000001800A68A0 1965
ZwRecoverEnlistment                                 00000001800A8B70 1966
ZwRecoverResourceManager                            00000001800A8B90 1967
ZwRecoverTransactionManager                         00000001800A8BB0 1968
ZwRegisterProtocolAddressInformation                00000001800A8BD0 1969
ZwRegisterThreadTerminatePort                       00000001800A8BF0 1970
ZwReleaseKeyedEvent                                 00000001800A8C10 1971
ZwReleaseMutant                                     00000001800A64C0 1972
ZwReleaseSemaphore                                  00000001800A6200 1973
ZwReleaseWorkerFactoryWorker                        00000001800A8C30 1974
ZwRemoveIoCompletion                                00000001800A61E0 1975
ZwRemoveIoCompletionEx                              00000001800A8C50 1976
ZwRemoveProcessDebug                                00000001800A8C70 1977
ZwRenameKey                                         00000001800A8C90 1978
ZwRenameTransactionManager                          00000001800A8CB0 1979
ZwReplaceKey                                        00000001800A8CD0 1980
ZwReplacePartitionUnit                              00000001800A8CF0 1981
ZwReplyPort                                         00000001800A6240 1982
ZwReplyWaitReceivePort                              00000001800A6220 1983
ZwReplyWaitReceivePortEx                            00000001800A6620 1984
ZwReplyWaitReplyPort                                00000001800A8D10 1985
ZwRequestPort                                       00000001800A8D30 1986
ZwRequestWaitReplyPort                              00000001800A6500 1987
ZwResetEvent                                        00000001800A8D50 1988
ZwResetWriteWatch                                   00000001800A8D70 1989
ZwRestoreKey                                        00000001800A8D90 1990
ZwResumeProcess                                     00000001800A8DB0 1991
ZwResumeThread                                      00000001800A6B00 1992
ZwRevertContainerImpersonation                      00000001800A8DD0 1993
ZwRollbackComplete                                  00000001800A8DF0 1994
ZwRollbackEnlistment                                00000001800A8E10 1995
ZwRollbackRegistryTransaction                       00000001800A8E30 1996
ZwRollbackTransaction                               00000001800A8E50 1997
ZwRollforwardTransactionManager                     00000001800A8E70 1998
ZwSaveKey                                           00000001800A8E90 1999
ZwSaveKeyEx                                         00000001800A8EB0 2000
ZwSaveMergedKeys                                    00000001800A8ED0 2001
ZwSecureConnectPort                                 00000001800A8EF0 2002
ZwSerializeBoot                                     00000001800A8F10 2003
ZwSetBootEntryOrder                                 00000001800A8F30 2004
ZwSetBootOptions                                    00000001800A8F50 2005
ZwSetCachedSigningLevel                             00000001800A8F70 2006
ZwSetCachedSigningLevel2                            00000001800A8F90 2007
ZwSetContextThread                                  00000001800A8FB0 2008
ZwSetDebugFilterState                               00000001800A8FD0 2009
ZwSetDefaultHardErrorPort                           00000001800A8FF0 2010
ZwSetDefaultLocale                                  00000001800A9010 2011
ZwSetDefaultUILanguage                              00000001800A9030 2012
ZwSetDriverEntryOrder                               00000001800A9050 2013
ZwSetEaFile                                         00000001800A9070 2014
ZwSetEvent                                          00000001800A6280 2015
ZwSetEventBoostPriority                             00000001800A6660 2016
ZwSetHighEventPair                                  00000001800A9090 2017
ZwSetHighWaitLowEventPair                           00000001800A90B0 2018
ZwSetIRTimer                                        00000001800A90D0 2019
ZwSetInformationDebugObject                         00000001800A90F0 2020
ZwSetInformationEnlistment                          00000001800A9110 2021
ZwSetInformationFile                                00000001800A65A0 2022
ZwSetInformationJobObject                           00000001800A9130 2023
ZwSetInformationKey                                 00000001800A9150 2024
ZwSetInformationObject                              00000001800A6C30 2025
ZwSetInformationProcess                             00000001800A6440 2026
ZwSetInformationResourceManager                     00000001800A9170 2027
ZwSetInformationSymbolicLink                        00000001800A9190 2028
ZwSetInformationThread                              00000001800A6260 2029
ZwSetInformationToken                               00000001800A91B0 2030
ZwSetInformationTransaction                         00000001800A91D0 2031
ZwSetInformationTransactionManager                  00000001800A91F0 2032
ZwSetInformationVirtualMemory                       00000001800A9210 2033
ZwSetInformationWorkerFactory                       00000001800A9230 2034
ZwSetIntervalProfile                                00000001800A9250 2035
ZwSetIoCompletion                                   00000001800A9270 2036
ZwSetIoCompletionEx                                 00000001800A9290 2037
ZwSetLdtEntries                                     00000001800A92B0 2038
ZwSetLowEventPair                                   00000001800A92D0 2039
ZwSetLowWaitHighEventPair                           00000001800A92F0 2040
ZwSetQuotaInformationFile                           00000001800A9310 2041
ZwSetSecurityObject                                 00000001800A9330 2042
ZwSetSystemEnvironmentValue                         00000001800A9350 2043
ZwSetSystemEnvironmentValueEx                       00000001800A9370 2044
ZwSetSystemInformation                              00000001800A9390 2045
ZwSetSystemPowerState                               00000001800A93B0 2046
ZwSetSystemTime                                     00000001800A93D0 2047
ZwSetThreadExecutionState                           00000001800A93F0 2048
ZwSetTimer                                          00000001800A6CF0 2049
ZwSetTimer2                                         00000001800A9410 2050
ZwSetTimerEx                                        00000001800A9430 2051
ZwSetTimerResolution                                00000001800A9450 2052
ZwSetUuidSeed                                       00000001800A9470 2053
ZwSetValueKey                                       00000001800A6CB0 2054
ZwSetVolumeInformationFile                          00000001800A9490 2055
ZwSetWnfProcessNotificationEvent                    00000001800A94B0 2056
ZwShutdownSystem                                    00000001800A94D0 2057
ZwShutdownWorkerFactory                             00000001800A94F0 2058
ZwSignalAndWaitForSingleObject                      00000001800A9510 2059
ZwSinglePhaseReject                                 00000001800A9530 2060
ZwStartProfile                                      00000001800A9550 2061
ZwStopProfile                                       00000001800A9570 2062
ZwSubscribeWnfStateChange                           00000001800A9590 2063
ZwSuspendProcess                                    00000001800A95B0 2064
ZwSuspendThread                                     00000001800A95D0 2065
ZwSystemDebugControl                                00000001800A95F0 2066
ZwTerminateJobObject                                00000001800A9610 2067
ZwTerminateProcess                                  00000001800A6640 2068
ZwTerminateThread                                   00000001800A6B20 2069
ZwTestAlert                                         00000001800A9630 2070
ZwThawRegistry                                      00000001800A9650 2071
ZwThawTransactions                                  00000001800A9670 2072
ZwTraceControl                                      00000001800A9690 2073
ZwTraceEvent                                        00000001800A6C70 2074
ZwTranslateFilePath                                 00000001800A96B0 2075
ZwUmsThreadYield                                    00000001800A96D0 2076
ZwUnloadDriver                                      00000001800A96F0 2077
ZwUnloadKey                                         00000001800A9710 2078
ZwUnloadKey2                                        00000001800A9730 2079
ZwUnloadKeyEx                                       00000001800A9750 2080
ZwUnlockFile                                        00000001800A9770 2081
ZwUnlockVirtualMemory                               00000001800A9790 2082
ZwUnmapViewOfSection                                00000001800A6600 2083
ZwUnmapViewOfSectionEx                              00000001800A97B0 2084
ZwUnsubscribeWnfStateChange                         00000001800A97D0 2085
ZwUpdateWnfStateData                                00000001800A97F0 2086
ZwVdmControl                                        00000001800A9810 2087
ZwWaitForAlertByThreadId                            00000001800A9830 2088
ZwWaitForDebugEvent                                 00000001800A9850 2089
ZwWaitForKeyedEvent                                 00000001800A9870 2090
ZwWaitForMultipleObjects                            00000001800A6C10 2091
ZwWaitForMultipleObjects32                          00000001800A6400 2092
ZwWaitForSingleObject                               00000001800A6140 2093
ZwWaitForWorkViaWorkerFactory                       00000001800A9890 2094
ZwWaitHighEventPair                                 00000001800A98B0 2095
ZwWaitLowEventPair                                  00000001800A98D0 2096
ZwWorkerFactoryWorkerReady                          00000001800A60E0 2097
ZwWriteFile                                         00000001800A61C0 2098
ZwWriteFileGather                                   00000001800A6420 2099
ZwWriteRequestData                                  00000001800A6BA0 2100
ZwWriteVirtualMemory                                00000001800A6800 2101
ZwYieldExecution                                    00000001800A6980 2102
__C_specific_handler                                0000000180096B40 2103
__chkstk                                            00000001800AAA80 2104
__isascii                                           0000000180096D00 2105
__iscsym                                            0000000180096D20 2106
__iscsymf                                           0000000180096D70 2107
__misaligned_access                                 0000000180084E90 2108
__toascii                                           0000000180096DB0 2109
_atoi64                                             0000000180096FD0 2110
_errno                                              0000000180087AA0 2111
_fltused                                            000000018014CA10 2112
_i64toa                                             0000000180097040 2113
_i64toa_s                                           00000001800A0850 2114
_i64tow                                             0000000180097220 2115
_i64tow_s                                           00000001800A0B40 2116
_itoa                                               0000000180097080 2117
_itoa_s                                             00000001800A0880 2118
_itow                                               0000000180097260 2119
_itow_s                                             00000001800A0B70 2120
_lfind                                              00000001800973F0 2121
_local_unwind                                       00000001800974B0 2122
_ltoa                                               00000001800970B0 2123
